number,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
388,US,"Delicate and complex, a cool climate wine with a mixture of ripe cherry flavors and leaner ones of tobacco, tomato skin, and cranberry. Bone dry with excellent acidity, this somewhat tart wine is well made, and may be an ager.",Paragon Vineyard,88,25.0,California,Edna Valley,Central Coast,Roger Voss,@vossroger,Kynsi 1999 Paragon Vineyard Pinot Noir (Edna Valley),Pinot Noir,Kynsi
389,Italy,"A blend of grapes, so maybe it is not surprising that the aromas and flavors are a blend: melons, pears and limes, all presented with great freshness and verve alongside a rich texture. Editors' Choice.",Terlano Classico,88,15.0,Northeastern Italy,Alto Adige,,Joe Czerwinski,@JoeCz,Cantina Terlano 2002 Terlano Classico White (Alto Adige),White Blend,Cantina Terlano
390,Chile,"Right off the bat this wine is pure and smooth. The nose is pretty, with cranberry and cassis. Next up is a palate of pure red fruit and only a light shading of oak. The finish draws applause for its clarity and buttery nuances. It's what a good Chilean Cabernet should be; it's ripe and easy to drink, yet fairly solid and impressive. Best Buy.",Reserve,88,12.0,Maipo Valley,,,Michael Schachner,@wineschach,Casa Julia 2001 Reserve Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Casa Julia
391,Chile,"With full oak and pineapple aromas along with a big mouthful of spicy apple and pear fruit, this is no weakling. On the contrary, it's full and meaty, with a lot of texture and extract. The feel is healthy even if the acidity is on the low side. A very good wine to drink now; it probably won't age that well.",Reserve,88,14.0,Central Valley,,,Michael Schachner,@wineschach,Valdivieso 2001 Reserve Chardonnay (Central Valley),Chardonnay,Valdivieso
392,US,"A lovely wine, made even more attractive by the value price. It has flavors and lemons and limes and a ripe, sweet edge of honey, although it's technically dry. The acidity is clean and refreshing.",,87,12.0,California,Santa Ynez Valley,Central Coast,,,Bridlewood 2000 Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Bridlewood
393,Chile,"Strongly oaked, but fresh, young and healthy in the nose. The smell of coconut and lemon curd is friendly and soft, while the palate is loaded with more lemon, coconut, pear and nutmeg. The texture is rich, and, for now, the acidity is bright. A solid Chardonnay for current drinking.",Castillo de Molina Reserva,87,11.0,Lontué Valley,,,Michael Schachner,@wineschach,San Pedro 2002 Castillo de Molina Reserva Chardonnay (Lontué Valley),Chardonnay,San Pedro
394,Chile,"Smooth smelling, with pure and fresh berry and plum aromas. Very young and a bit tangy on the palate, with cherry and berry flavors and an oaky, soft finish that goes sweet then sour, and lasts for a long time. In terms of structure, it's balanced, mildly tannic, yet meant for drinking now.",Reserva,87,12.0,Maipo Valley,,,Michael Schachner,@wineschach,Undurraga 2001 Reserva Merlot (Maipo Valley),Merlot,Undurraga
395,Italy,"This is the first vintage of this blend of Chardonnay, Pinot Grigio and Sauvignon Blanc, named after the 16th-century abbess Rylint Formentini. Peppery in character, with rich, complex fruit, it has citric flavors, along with a sense of structure and acidity.",Rylint,87,,Northeastern Italy,Collio,,Roger Voss,@vossroger,Conti Formentini 2001 Rylint White (Collio),White Blend,Conti Formentini
396,US,"Rich in spicy, briary berry-cherry and chocolate fruit, with ultra-smooth tannins, and just enough acidity to cut through barbecue sauce. It's a bit sweet and Porty on its own.",Ancient Vines,85,16.0,California,California,California Other,,,Cline 2007 Ancient Vines Zinfandel (California),Zinfandel,Cline
397,Chile,"Fresh aromas of red cherry and light berry fruit precede a palate that runs a little racy, with borderline tart plum and pie cherry flavors. A solid mouthfeel and mild, chalky tannins give it presence, and for sure it's a clean, sturdy wine. But that's really as far as it goes.",Visión,85,15.0,Colchagua Valley,,,Michael Schachner,@wineschach,Cono Sur 2008 Visión Pinot Noir (Colchagua Valley),Pinot Noir,Cono Sur
398,Chile,"On the plump but balanced side, with a perfumed nose that's almost sweet for SB. In the mouth, it's fairly lively and lifted, with nectarine and melon flavors that morph into pink grapefruit on the finish. Decent quality; will get the job done.",Estate Selection,85,13.0,Curicó Valley,,,Michael Schachner,@wineschach,Aresti 2008 Estate Selection Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,Aresti
399,Italy,"The wine starts off slowly due to a note of almond nut or cardboard that masks the natural fruit. Once it gets started, however, this luminous sparkling Prosecco offers cheerful notes of stone fruit and pear.",Extra Dry,85,24.0,Veneto,Prosecco di Valdobbiadene,,,,Astoria 2008 Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Astoria
400,Italy,"Tonic and lean with a nearly transparent color and lively perlage, this non-DOC Prosecco offers candy-like aromas of butterscotch and lemon soda. There's an interesting touch of crushed white peppercorn in there as well and this well-priced wine would make a perfect match to appetizers and finger foods.",Brut,85,13.0,Italy Other,Italy,,,,Cantine Maschio NV Brut Prosecco (Italy),Prosecco,Cantine Maschio
401,Italy,"This Extra Dry (slightly sweet) vintage Prosecco delivers a lean, slightly watery style and piquant bubbles that recall lemon soda. The wine is firm and steely in the mouth with tonic bubbling and layers of fresh fruit on the close.",Millesimato Extra Dry,85,19.0,Veneto,Prosecco di Valdobbiadene,,,,Val d'Oca 2008 Millesimato Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Val d'Oca
402,Chile,"Formerly doing business as “Shiraz,” this Syrah from Bisquertt offers a huge purple tint, roasted aromas of blackberry and campfire, and a ripe, grapey palate that brims with simple, racy black cherry, pepper and other driving flavors. Not timid by any means but also nothing out of the ordinary.",Casa la Joya Reserve,85,11.0,Colchagua Valley,,,Michael Schachner,@wineschach,Viña Bisquertt 2007 Casa la Joya Reserve Syrah (Colchagua Valley),Syrah,Viña Bisquertt
403,US,"Dry and acidic, this light-bodied wine has tart flavors of mashed cherries, cherryskins, orange zest and citrus fruits. It's a Bordeaux blend with Zinfandel and Sangiovese. Nice with pizza with prosciutto and olives.",Le Bon Viveur,85,15.0,California,California,California Other,,,Vinavanti 2005 Le Bon Viveur Red (California),Red Blend,Vinavanti
404,US,"Smells funky, with sweaty leather aromas, although you'll also find varietal notes of the grape. Tastes all right, with blackberries, currants, leather and mocha that are wrapped into firm tannins.",White Hawk Vineyard,85,45.0,California,Santa Barbara County,Central Coast,,,Vino V 2005 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Vino V
405,Italy,"Citrus tones, peach, white flower and mineral notes come forward thanks to the wine's bright personality and zesty effervescence. There are soft notes of crushed pepper and loads of sweet stone fruit flavors to enjoy as well.",Extra Dry,85,19.0,Veneto,Prosecco del Veneto,,,,Viticoltori Ponte NV Extra Dry  (Prosecco del Veneto),Prosecco,Viticoltori Ponte
406,France,"A creamy, caramel- and pear-flavored wine, keeping freshness but enriched with an almond and custard tart finish.",Brut Mosaïque,85,30.0,Champagne,Champagne,,Roger Voss,@vossroger,Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart
407,Chile,"Aromas of baked apple, nut oil and toast are mildly appealing, while the round, dry palate is home to flavors of melon and bitter pith. The finish of peach pit and citrus peel is par for the course, and overall it's time to get at this standard Chardonnay before it goes flaccid.",Casa,85,14.0,Casablanca Valley,,,Michael Schachner,@wineschach,Lapostolle 2007 Casa Chardonnay (Casablanca Valley),Chardonnay,Lapostolle
408,Italy,"This Prosecco delivers medium intensity and a compact, slightly watery mouthfeel followed by lime, kiwi, white flower, honey and chopped basil. The cheerful sparkler ends with creamy consistency thanks to the foamy quality of its effervescence.",Millesimato Extra Dry,85,15.0,Veneto,Prosecco di Conegliano e Valdobbiadene,,,,Le Vigne di Alice 2008 Millesimato Extra Dry  (Prosecco di Conegliano e Valdobbiadene),Prosecco,Le Vigne di Alice
409,US,"Fresh and delicate with floral and citrus overtones, this wine has an elegant character. Its dry, spicy flavors are subtle and refreshing, giving the wine food pairing flexibility. Ideally, though, think of spicy cuisine like Indian, Thai or Indonesian.",Dry,85,20.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,McGregor 2007 Dry Gewürztraminer (Finger Lakes),Gewürztraminer,McGregor
410,US,"An elegant nose of violet and blackberry gives this Cab Franc a graceful start. On the palate, soft cherry and blackberry flavors are punctuated by spice and pepper. An interesting sip that will pair well with fowl, beef.",,85,20.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Miles 2006 Cabernet Franc (Finger Lakes),Cabernet Franc,Miles
411,US,"A nice Cabernet for this everyday price. Dry and smooth, it shows interesting flavors of black currants, plums, herbs and spice, with a touch of smoky oak.",Split Oak Vineyard,85,12.0,California,California,California Other,,,Morro Bay 2006 Split Oak Vineyard Cabernet Sauvignon (California),Cabernet Sauvignon,Morro Bay
412,Italy,"Canah Brut Prosecco exhibits a slightly more saturated golden color and intense notes of mature peach, dried apricot with delicate mineral tones in the background. This rich sparkler is fatter and denser than most Proseccos and boasts an attractively low price tag.",Canah Brut,85,20.0,Veneto,Prosecco di Valdobbiadene,,,,Perlage 2008 Canah Brut  (Prosecco di Valdobbiadene),Prosecco,Perlage
413,Italy,"Here's an organically grown Prosecco with citrusy notes of lime and grapefruit backed by white mineral and orange blossom. The wine is firm and slightly sweet on the finish and offers an easy, no-fuss experience overall.",,85,13.0,Veneto,Prosecco del Veneto,,,,Pizzolato 2007  Prosecco del Veneto,Prosecco,Pizzolato
414,Italy,"Here's a Prosecco with a broad and far-reaching aspect to its aromatic profile that recalls roasted almonds, mature peach and yellow rose. There's a pungent note in there as well of ash or talc powder and the sparkler ends with a playful blast of piquant spice.",Stefany Extra Dry,85,16.0,Veneto,Prosecco del Veneto,,,,Pizzolato NV Stefany Extra Dry  (Prosecco del Veneto),Prosecco,Pizzolato
415,US,"Citrus and spice overtones dominate the nose of this elegant Riesling. On the palate, slightly sweet fruit flavors are balanced by mineral and spice. Pair with grilled seafood, salads and cheeses.",,85,14.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Red Newt Cellars 2007 Riesling (Finger Lakes),Riesling,Red Newt Cellars
416,Italy,This is an easy-going Prosecco with lively tones of stone fruit and citrus. The wine is informal and tonic which makes it perfect as an appetizer wine or with friends on a lazy summer afternoon.,Extra Dry,85,14.0,Veneto,Prosecco del Veneto,,,,Ca'Tullio NV Extra Dry  (Prosecco del Veneto),Prosecco,Ca'Tullio
417,Italy,"This is a sweet style of Prosecco with a luminous appearance and grassy-herbal notes followed by white peach, honey and jasmine. More herbal flavors appear on the close and the wine is fresh and simple in the mouth.",,85,,Veneto,Prosecco del Veneto,,,,Pizzolato NV  Prosecco del Veneto,Prosecco,Pizzolato
418,Austria,"Using many biodynamic practices, Werner Michlits has crafted a rich, sweet and juicy wine, full of intense fruit, touched by spice, but more to do with black plum, fresh figs and vivid acidity. This is a hearty wine, ready to drink, its final tannins soft. Screwcap.",Biokult Zweigelt Pinot Noir,85,,Burgenland,,,Roger Voss,@vossroger,Michlits 2007 Biokult Zweigelt Pinot Noir Red (Burgenland),Red Blend,Michlits
419,France,"A smooth, perfumed wine that has softened just in time for its fifth year. It has black-currant and berry fruits that are ripe while still showing fresh acidity. The tannic structure is there, well integrated into the polished structure. Drinkable now.",,89,20.0,Bordeaux,Graves,,Roger Voss,@vossroger,Château de Callac 2011  Graves,Bordeaux-style Red Blend,Château de Callac
420,France,"This is the first of 15 estates the Gonfrier family owns throughout Bordeaux. There are strong wood influences here, although the fruit is enough to match up. So ripe pear and apricot flavors go with those toasty characters to give a rich, full-bodied wine. It will be better from late 2016.",,89,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château de Marsan 2015  Bordeaux Blanc,Bordeaux-style White Blend,Château de Marsan
421,US,"All varietal, this wine is a blend of fruit from top sites Ciel du Cheval, Conner Lee, Obelisco and Stonetree. The aromas are quite reserved, with notes of barrel spice that are followed by full-bodied fruit flavors with a spicy finish. It drinks well but the variety seems lost.",Confidential Source,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Guardian 2013 Confidential Source Merlot (Columbia Valley (WA)),Merlot,Guardian
422,US,"The light aromas suggest notes of star fruit and citrus. The palate is flavorful, with racy acids keeping the fruit in focus.",Blue Mountain Vineyard,89,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Kerloo 2015 Blue Mountain Vineyard Grenache Blanc (Walla Walla Valley (WA)),Grenache Blanc,Kerloo
423,Austria,"There is a savory, fragrant, mossy greenness that draws you in. On the concentrated palate, this becomes more distinct as the peel of Bosc pear and crushed arugula emerge. Lime zestiness comes with a slightly warm finish.",Kittl,89,23.0,Weinviertel,,,Anne Krebiehl MW,@AnneInVino,Kohl 2015 Kittl Grüner Veltliner (Weinviertel),Grüner Veltliner,Kohl
424,US,"This wine is dry and rather full bodied, starting with fruity aromas like banana and coconut then seguing to more nutty, oaky, complex flavors and a rich texture. It's a serious dinner wine with heft and substance.",Verdigris,89,30.0,California,California,California Other,Jim Gordon,@gordone_cellars,Las Positas 2014 Verdigris White (California),White Blend,Las Positas
425,US,"Blossom and berry notes are accented by hints of smoked nut in this refreshingly light-bodied wine. Zesty and lithe on the palate, it's an ideal summer-to-fall apéritif or porch sipper. The moderately long finish is marked with a hint of waxy florals.",Bridge Lane,89,18.0,New York,New York,New York Other,Anna Lee C. Iijima,,Lieb 2015 Bridge Lane Rosé (New York),Rosé,Lieb
426,Spain,"Slightly foxy on the nose, with rubbery aromas of cherry and cassis, this offers a tight, tannic palate with hard, elastic tannins. Flavors of cherry and cassis are pleasant, while the finish is ripe, warming and healthy.",Seis,89,18.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Luberri 2011 Seis  (Rioja),Tempranillo,Luberri
427,US,"A touch blossomy against a core of ripe raspberry and cherry perfume, the nose on this traditional-method Pinot Noir sparkler is particularly alluring. The palate is elegant and fresh, marked by fine, mouthfilling mousse and delicate raspberry-candy finish.",Cuvée Gabriella Brut Rosé,89,35.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Macari 2010 Cuvée Gabriella Brut Rosé Sparkling (North Fork of Long Island),Sparkling Blend,Macari
428,Austria,"An earthy hint colors the pear notes which on the palate acquire a fresh, almost floral quality. The earthy tone of yeast and miso provides a counterpoint to the zesty, lime-peel freshness. The finish is clean-cut and very refreshing.",Crazy Creatures,89,17.0,Kremstal,,,Anne Krebiehl MW,@AnneInVino,Malat 2015 Crazy Creatures Grüner Veltliner (Kremstal),Grüner Veltliner,Malat
429,US,"Aromas of coffee, barrel spice and dark-blue fruit lead to rich, full-bodied blackberry and spice flavors. It's not for the faint of heart but delivers a lot of enjoyment.",The Estates Clifton Hill Vineyard,89,42.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Milbrandt 2013 The Estates Clifton Hill Vineyard Syrah (Wahluke Slope),Syrah,Milbrandt
430,US,"Yellow pear, fresh-squeezed lime, light mint and wet-cement aromas show on the brisk nose of this bottling by veteran Adam Tolmach. A grippy texture and lively acidity frame the palate, where green apple and lime flavors show. It's clean, pure and easy.",McGinley Vineyard,89,30.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Ojai 2014 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Ojai
431,US,"This Tempranillo-based pinkie is quite inviting and tightly textured, with aromas of orange shave ice, strawberry cream, watermelon and cement. It is extremely zesty and lively once sipped, offering easy-to-drink raspberry and melon notes. It's great for all sorts of food, from spicy to rich.",Indie,89,24.0,California,Templeton Gap District,Central Coast,Matt Kettmann,@mattkettmann,ONX 2015 Indie Tempranillo (Templeton Gap District),Tempranillo,ONX
432,US,"The aromas of whole lime, flowers, jasmine and watermelon Jolly Rancher pop. It drinks off dry, with floral flavors that carry through the finish.",Upland Vineyard,89,16.0,Washington,Snipes Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Pomum 2014 Upland Vineyard Riesling (Snipes Mountain),Riesling,Pomum
433,US,"Smoky aromas and a bold apricot flavor give this dry and seemingly light-bodied wine a distinct personality. Fermented in small concrete egg-shaped vats, it's far from simple and fruity, and instead offers great acidity and a tangy, tempting, appetizing personality.",Stepping Stones,89,27.0,California,Santa Barbara County,Central Coast,Jim Gordon,@gordone_cellars,Prospect 772 2014 Stepping Stones Grenache Blanc (Santa Barbara County),Grenache Blanc,Prospect 772
434,Italy,"Coffee, toasted oak, coconut and raspberry confiture aromas lead the way. On the dense palate, dark chocolate, oak and licorice accent fleshy black cherry while fine-grained tannins provide support.",Rocche dell'Annunziata,89,89.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Revello Fratelli 2012 Rocche dell'Annunziata  (Barolo),Nebbiolo,Revello Fratelli
435,Austria,"Creamy notes pear crumble make for a most attractive nose. The palate follows with gentle softness and concentration, supported by bright, fresh acidity. The creamy notes continue alongside notes of green and red apple and fresh pear. There is a lot of substance and body, so have this alongside a meal, the finish is superclean.",Lage Modler,89,,Thermenregion,,,Anne Krebiehl MW,@AnneInVino,Gebeshuber 2015 Lage Modler Zierfandler (Thermenregion),Zierfandler,Gebeshuber
436,Italy,"Aromas of apricot and white spring flower lift out of the glass. The apricot note follows through to the palate, along with yellow peach, honeydew melon and almond, all framed in bright acidity. This one closes on a flinty note.",Gold Label,89,15.0,Piedmont,Gavi,,Kerin O’Keefe,@kerinokeefe,Tenuta La Marchesa 2015 Gold Label  (Gavi),Cortese,Tenuta La Marchesa
437,US,"Blended from all five Bordeaux varieties, with Cabernet Sauvignon and Merlot almost equal in proportion, this is a lovely, well-crafted wine, softly concentrated with highlights of licorice, lavender, violets and black pepper. From three ranches farmed by the family, it's both seamless and structured.",Henry's Blend,89,54.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Trione 2012 Henry's Blend Red (Alexander Valley),Bordeaux-style Red Blend,Trione
438,Spain,"Fresh, focused and tight on the nose, with an undertone of mild oak and earth, this gets going with ease. A fresh, fruity palate is just rugged enough, while flavors of black plum, cherry, licorice and herbs finish toasty, spicy and firm.",Século,89,15.0,Northern Spain,Bierzo,,Michael Schachner,@wineschach,Vinos de Arganza 2012 Século Mencía (Bierzo),Mencía,Vinos de Arganza
439,Spain,"Leathery berry and savory, smoky oak aromas are a rugged introduction to a stout palate with juicy acidity. Flavors of baked plum, hard spices, salt and savory herbs finish with rubbery tannins, energy and spicy, peppery flavors.",Marqués de Montejos Selección,89,42.0,Northern Spain,Vino de la Tierra de Castilla y León,,Michael Schachner,@wineschach,Vinos de Arganza 2013 Marqués de Montejos Selección Mencía (Vino de la Tierra de Castilla y León),Mencía,Vinos de Arganza
440,US,"This wine is a blend of fruit from five different vineyards scattered across the valley. The aromas of barrel spice, black cherry, dried leaves, herbs and flowers still seem quite locked up. The flavors are generous and full with palate coating milk chocolate and cherry flavors with a finish that lingers.",,89,38.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Vintners 2013 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Walla Walla Vintners
441,Austria,"Tender notes of red apple skin and bottled strawberries are pulled into focus by zesty citrus. The bone-dry palate reveals more bottled but wonderfully tart strawberry flavors and finishes in a very linear, refreshing and light-footed fashion.",Rosé,89,12.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Winzer Krems 2015 Rosé Zweigelt (Niederösterreich),Zweigelt,Winzer Krems
442,US,"Voluptuous blackberry and plum flavors are edged by hints of bitter coffee and spice in this richly bodied wine. Fringed by a bare feather of tannins, it's luscious in mouthfeel, with an unctuousness that persists luxuriously on the palate.",Caya,89,35.0,New York,Long Island,Long Island,Anna Lee C. Iijima,,Wölffer 2013 Caya Cabernet Franc (Long Island),Cabernet Franc,Wölffer
443,US,"Berry crumble and licorice star in this full-bodied, hearty and smooth wine, blended with 4% Petite Sirah. Spicy oak and milk chocolate unleash further flavor and spice on the finish.",Estate Grown,88,32.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Dunbar 2012 Estate Grown Zinfandel (Sonoma Valley),Zinfandel,Dunbar
444,Austria,"Earthy, savory notes of yeast and miso swing alongside the green pear flavors. There is spice and concentration on the midpalate and some tingling pepper spice.",Altweingarten,88,12.0,Wagram,,,Anne Krebiehl MW,@AnneInVino,Eschenhof Holzer 2015 Altweingarten Grüner Veltliner (Wagram),Grüner Veltliner,Eschenhof Holzer
445,Italy,"Vibrant and savory, this has aromas of red berry, blue flower and a whiff of baking spice. The bright palate doles out red cherry, juicy strawberry, and star anise alongside bright acidity that gives it a crisp finish.",Vigorosa Rosato,88,28.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Fattorie Romeo del Castello 2015 Vigorosa Rosato Nerello Mascalese (Etna),Nerello Mascalese,Fattorie Romeo del Castello
446,US,"Fresh blueberry and grape aromas meet with black plum, asphalt and turned earth on the nose of this bottling by Steve Dooley of Stephen Ross Cellars. Fresh blackberry juice, black pepper and dill show on the palate that is coated with decent acidity and a good tannic structure.",,88,20.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Flying Cloud 2014 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Flying Cloud
447,France,"The wine is initially soft with melon and ripe pear fruit. Behind this fruity exterior, there is a crisper citrus character that is bright and light. It's a ripe wine, all fruit with a tighter, mineral aftertaste. Drink from 2017.",Domaine de la Vieille Cure Sur Lie,88,14.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Gadais Père et Fils 2015 Domaine de la Vieille Cure Sur Lie  (Muscadet Sèvre et Maine),Melon,Gadais Père et Fils
448,France,"This appealing blend of 50% Roussanne, 30% Grenache Blanc and 20% Clairette is tight and citrusy on the nose, broadening out on the palate to offer hints of apple, pineapple and underripe melon. Drink now.",Domaine de la Becassonne,88,19.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,André Brunel 2014 Domaine de la Becassonne White (Côtes du Rhône),Rhône-style White Blend,André Brunel
449,Italy,"Aligi Sassu is a lovely sparkler without added sugar or liqueur. It offers a fragrance of white flower, lemon drop and nut. The palate delivers citrus, apple and almond flavors along with refined, persistent bubbles and a bone-dry finish.",Pas Dosé Aligi Sassu,92,39.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Majolini 2006 Pas Dosé Aligi Sassu Chardonnay (Franciacorta),Chardonnay,Majolini
450,France,"Now part of Jacquart Champagne, Montaudon produces sophisticated and elegant wines, as this Classe M shows. It is crisp and dry in style with citrus and grapefruit flavors dominating. but some bottle age adds texture and notes of toastiness.",Classe M,92,,Champagne,Champagne,,Roger Voss,@vossroger,Montaudon NV Classe M  (Champagne),Champagne Blend,Montaudon
451,Italy,"Here's an enticing Vino Nobile offering aromas of underbrush, tobacco leaf, ripe cherry and spice. The palate delivers succulent black cherry, plum, cinnamon and nutmeg along with velvety tannins. Although it shows the warmth of the vintage, it still retains elegance and class. Delicatio Wines, Golden Vines.",Messaggero,92,35.0,Tuscany,Vino Nobile di Montepulciano,,Kerin O’Keefe,@kerinokeefe,Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano),Sangiovese,Montemercurio
452,France,"Aromas of wood aging and ripe yellow fruits are a fine pairing for this wine that comes from the slopes above Meursault. With its textured character, apricot and peach flavors and tight acidity, this is a serious and complex wine that demands aging. Drink from 2015.",Les Tillets,92,,Burgundy,Meursault,,Roger Voss,@vossroger,Patrick Javillier 2011 Les Tillets  (Meursault),Chardonnay,Patrick Javillier
453,France,"This is a rich, bottle-aged wine is bright with lemon and green-apple fruitiness, but it's starting to develop secondary flavors—notes of toast, almonds and cookies—as well. It's at just the right stage of development and ready to drink now.",Brut Prestige,92,69.0,Champagne,Champagne,,Roger Voss,@vossroger,Philippe Fontaine NV Brut Prestige  (Champagne),Champagne Blend,Philippe Fontaine
454,Canada,"An aromatic knockout with notes of peach, papaya, lychee and brown sugar. At 250 g/L of residual sugar, it's dense and rich with carmelized sugar flavors and a lengthy finish.",Reserve Icewine,92,30.0,Ontario,Niagara-On-The-Lake,,Sean P. Sullivan,@wawinereport,Pillitteri 2012 Reserve Icewine Vidal (Niagara-On-The-Lake),Vidal,Pillitteri
455,US,"Fine acidity and a bracing minerality, like a lick of cold steel on a winter day, mark this Chardonnay. It has oak notes, but they're wisely kept in the background, allowing the citrus, green apple and peach flavors to star. This beautiful wine continues the winery's string of great reserve Chardonnays, and is their best since the 2006 vintage.",Reserve,92,40.0,California,Carneros,Napa-Sonoma,,,Robert Mondavi 2011 Reserve Chardonnay (Carneros),Chardonnay,Robert Mondavi
456,US,"Thickly moussed, Roederer's Brut, 60% Chardonnay blended with 40% Pinot Noir, aged two years on yeast is affordable and luxurious. A gorgeous, very dry sparkling wine with aromatics of honey, raisin, apple and pear, it is rich and soft and offers both depth and length. It's an ideal marriage of bright acidity and ripe fruit character.",Brut,92,23.0,California,Anderson Valley,,Virginie Boone,@vboone,Roederer Estate NV Brut Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate
457,US,"With a wine this finely constructed, the question is always ageability. There's no question about the immediate deliciousness. It's thrilling with raspberries, strawberries, orange rind and cola, and complex notes of minerals and earth. The mouthfeel is absolutely beautiful, comprised of silk and satin brightened with acidity. So should you drink it now? Yes. Will it age? For the next six years, yes.",Solomon Hills Vineyard,92,45.0,California,Santa Maria Valley,Central Coast,,,Rusack 2011 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Rusack
458,Italy,"From one of Franciacorta's leading producers, Gran Cuvée Pas Operé offers an enticing fragrance of acacia flower, white flowers and beeswax. The creamy palate delivers apple, nut, spice, thyme and sage along with fine, persistent effervescence.",Gran Cuvée Pas Operé,92,50.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Bellavista 2006 Gran Cuvée Pas Operé Sparkling (Franciacorta),Sparkling Blend,Bellavista
459,France,"A rich, bottled-aged wine, full of toast as well as apple and crisp grapefruit flavors, this has great balance and elegance. It's full of fruit, but structured and seamlessly integrated. It's ready to drink now, but will also improve with age. Drink until 2020.",Tzarina No 1 Brut,92,100.0,Champagne,Champagne,,Roger Voss,@vossroger,Chanoine NV Tzarina No 1 Brut  (Champagne),Champagne Blend,Chanoine
460,US,"Proving that exceptional wines can be (and were) made in this cool, light vintage, this estate-grown selection is both elegant and complex. Flavors of mixed wild berries, a streak of tea, a whiff of peach and compelling balance carry it through an extended finish.",Ridgecrest Vineyards,92,50.0,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine ,Chehalem 2011 Ridgecrest Vineyards Pinot Noir (Ribbon Ridge),Pinot Noir,Chehalem
461,US,"A marvelous Pinot Blanc, this combines aromatic hints of almond with mixed citrus fruit and rind, zippy acidity and a great wash of minerality. It cleanses and tickles the palate, lingering sensuously through a finish of surprising depth.",Stoller Vineyards,92,29.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Chehalem 2012 Stoller Vineyards Pinot Blanc (Dundee Hills),Pinot Blanc,Chehalem
462,France,"This big, ripe and fruity wine shows both the richness and the structure of the vintage, but never loses sight of balance. It's full of rich yellow fruits, green plums and citrus, but structured with refreshing acidity, a minerally texture and gentle hints of wood aging. Drink from 2015.",Blagny Premier Cru,92,66.0,Burgundy,Meursault,,Roger Voss,@vossroger,Henri de Villamont 2010 Blagny Premier Cru  (Meursault),Chardonnay,Henri de Villamont
463,France,"This is a beautiful wine showing remarkable richness and maturity. Hints of toast and bright fruits combine seamlessly to yield a full, ripe wine marked with with intense acidity. With concentration from old vines showing strongly, it's a wine that's ready to drink now.",Cuvée Marguerite Brut,92,60.0,Champagne,Champagne,,Roger Voss,@vossroger,Vollereaux 2007 Cuvée Marguerite Brut  (Champagne),Champagne Blend,Vollereaux
